name,aliases,primary,secondary,logo
LEAP Academy,Lancers,#C0C0C0,#000030,leap-academy.png
METS Charter,,#234E70,#A7C7E7,mets-charter.svg
Cristo Rey,Saints,#500060,#200020,cristo-rey.png
Katzenbach,Katzenbach School for the Deaf,#034CB2,#C8880A,katzenbach.svg
Foundation Collegiate,"Knights,Foundation Collegiate Academy",#F0A020,#0060A0,foundation-collegiate.png
Bergen Arts and Sciences Charter,,#163A2C,#D7C48A,bergen-arts-and-sciences-charter.svg
Bergen County Christian,,#0E4D5C,#F4C542,bergen-county-christian.svg
Lewis,,#034CB2,#F3EAD8,lewis.svg
Baptist Regional,,#202020,#505050,baptist-regional.png
United Christian,United Christian Academy,#022C66,#52000E,united-christian.svg
North 13th Street Tech,"THS,Tech",#505050,#E0E0E0,north-13th-street-tech.png
Bloomfield Tech,"BHS,Bloomfield",#A01030,#90A0A0,bloomfield-tech.png
Parsippany Christian,"PHS,Parsippany",#C00030,#709070,parsippany-christian.png
Barnstable,Barnstable Academy,#222222,#CC4E10,barnstable.svg
Community,"BCC,Beloved Community Charter",#002030,#606060,community.png
Al-Ghazaly,,#163A2C,#D7C48A,al-ghazaly.svg
Queen of Peace,Golden Griffins,#000020,#303040,queen-of-peace.png
Woodrow Wilson,Flying Eagles,#600000,#B09090,woodrow-wilson.png
St. Mary (Eliz.),"SMHS,St. Mary",#A0A0A0,#C0C0C0,st-mary-eliz.png
Salem County Christian,"SHS,Salem",#0000E0,#7070E0,salem-county-christian.png
Kearny Christian,"KCA,Kearny Christian Academy",#003030,#808080,kearny-christian.png
Madison Avenue Baptist,"MHS,Madison",#E0E0E0,#301010,madison-avenue-baptist.png
Cape Christian,Cape Christian Academy,#022C66,#F3EAD8,cape-christian.svg
The Hill School,"CHEHS,Cherry Hill East",#F00000,#E0E0E0,the-hill-school.png
Mater Dei,Seraphs,#002040,#70B0E0,mater-dei.png
