name,aliases,primary,secondary,logo
Central Regional,CRHS,#F0C020,#500000,central-regional.png
Spotswood,SHS,#004090,#F0C000,spotswood.png
Bloomfield,BHS,#A01030,#90A0A0,bloomfield.png
West Milford,WMHS,#F0A020,#101010,west-milford.png
South Plainfield,SPHS,#004010,#E0E0E0,south-plainfield.png
Verona,VHS,#700000,#E0D0D0,verona.png
Indian Hills,IHHS,#002040,#C0A070,indian-hills.png
Mendham,"WMMHS,West Morris Mendham",#003060,#E0E0E0,mendham.png
North Plainfield,NPHS,#200000,#E0E0E0,north-plainfield.png
Livingston,LHS,#106020,#101010,livingston.png
St. John Vianney,"SJVHS,St. John-Vianney",#F0B010,#101010,st-john-vianney.png
Passaic,PHS,#C01030,#001060,passaic.png
Old Tappan,"NVOT,NV - Old Tappan",#C0A060,#405070,old-tappan.png
Pompton Lakes,PLHS,#E01030,#201010,pompton-lakes.png
Colonia,CHS,#F0B000,#006080,colonia.png
West Morris,"WMMHS,West Morris Mendham",#003060,#E0E0E0,west-morris.png
Toms River South,TRSHS,#C09090,#400000,toms-river-south.png
Kinnelon,KHS,#001030,#C0C0C0,kinnelon.png
Mahwah,MHS,#80B0E0,#304050,mahwah.png
New Brunswick,NBHS,#002040,#8090A0,new-brunswick.png
Wayne Valley,WVHS,#6090C0,#003060,wayne-valley.png
East Brunswick,EBHS,#006030,#003000,east-brunswick.png
Paterson Kennedy,"KHS,Kennedy",#A01010,#E0E0E0,paterson-kennedy.png
Hanover Park,HPHS,#F0C030,#E0E0E0,hanover-park.png
Jackson Memorial,JMHS,#F00000,#E0E0E0,jackson-memorial.png
Johnson,JHS,#000070,#0090C0,johnson.png
North Arlington,NAHS,#101080,#E0E0E0,north-arlington.png
Northern Highlands,NHHS,#E00000,#E0E0F0,northern-highlands.png
Hillsborough,HHS,#700000,#E0C090,hillsborough.png
Shore,"SRHS,Shore Regional",#E0E0E0,#C0C0C0,shore.png
Franklin,FHS,#901040,#F3EAD8,franklin.png
Caldwell,CHS,#003090,#707070,caldwell.png
Wallington,WHS,#201010,#E0E0E0,wallington.png
South River,SRHS,#500020,#E0E0E0,south-river.png
Pequannock,PHS,#E0E0E0,#002060,pequannock.png
Lawrence,LHS,#C07050,#C0B0B0,lawrence.png
Fair Lawn,FLHS,#600000,#909090,fair-lawn.png
Linden,LHS,#F07000,#E0E0E0,linden.png
Red Bank Regional,RBRHS,#501010,#E0E0E0,red-bank-regional.png
Cherokee,CHS,#F06030,#A0A0A0,cherokee.png
Irvington,IHS,#2000A0,#E0E0E0,irvington.png
Lenape,LHS,#C00000,#E0E0E0,lenape.png
Hopewell Valley,"HVCHS,Hopewell Valley Central",#909090,#101010,hopewell-valley.png
North Brunswick,NBHS,#E0E0E0,#909090,north-brunswick.png
Piscataway,PHS,#222222,#C8880A,piscataway.svg
Pascack Valley,PVHS,#108030,#E0E0E0,pascack-valley.png
Moorestown,MHS,#103060,#305080,moorestown.png
